text,review_sentiment
"Entrega no prazo
Meu pedido foi entregue bem antes do prazo, obrigado, super recomendo.",POSITIVE
"normal
Entrega rápida, no prazo. O bebedouro é muito bom.",NEUTRAL
"Execelente vendedor
normal",NEUTRAL
"Não recebi o produto
Comprei o rímel tango de embalagem vermelha e recebi outro produto. Entrei em contato com a lannister solicitando informações para a troca e até agora ninguém respondeu.",NEGATIVE
"Recomendo
O produto atendeu minhas necessidades",POSITIVE
"normal
Tudo ok
",NEUTRAL
"normal
Não recebi o produto liquid koolbloom",NEGATIVE
"PRODUTO COM DEFEITO
SOLICITEI DEVOLUÇÃO. PRODUTO COM DEFEITO",NEGATIVE
"Produto errado
Pedi um produto e veio outro ",NEGATIVE
"normal
Sempre cumpre os prazos de entregues",NEUTRAL
"normal
Funcionou perfeitamente no meu ar portatil springer 12.000 btus",NEUTRAL
"Recomendo
normal",NEUTRAL
"normal
Produto chegou quebrado, em uma avaliação inicial nos pareceu ser uma embalagem que não garante a integridade de um produto feito em vidro.",NEGATIVE
"normal
Fiz um pedido de 4 itens, ele foi separado em 2 entregas. Só recebi 3 itens!!! ",NEUTRAL
"Não recebi o produto.
O prazo de entrega era até dia 08/08/2018 e até agora dia 10/08/2018 não recebi o produto. 
Completamente insatisfeita.",NEGATIVE
"O ótimo
Gostei muito da panela e do vendedor chegou no prazo
",POSITIVE
"Ótimo
Ótimo",NEGATIVE
"normal
fiquei muito satisfeita o produto e bom excelente qualidade ... ficou lindo no quarto de meu filho .",POSITIVE
"normal
Não vem com nota fiscal, porquê???",NEUTRAL
"normal
Produto de qualidade. ",NEUTRAL
"Boa loja
Bom ",POSITIVE
"Otimo
Produto de excelente qualidade.",POSITIVE
"normal
A tinta da borda preta fica soltando na nossa mão bom que não saltar",NEUTRAL
"normal
ótima qualidade,bom custo beneficio.",POSITIVE
"normal
Frete muito lento! ",NEUTRAL
"normal
bom produto",NEUTRAL
"Ótimo custo x benefício
Produto chegou dentro do prazo. Veio conforme descrição e é excelente.",POSITIVE
"falta de mercadoria
Esclareço que a entrega veio incompleta faltando 01 capa de chuva. solicito providências.",NEGATIVE
"RECOMENDO 
RELOGIO LINDO ,POREM ELE É PEQUENO ,ESTOU ACOSTUMADA COM RELOGIOS TIPO FAUSTAO RS ,MAS ESSE BEM LEVE ,SÓ QUE VEIO CAIXA DE PAPEL BEM INFERIOR POR SER CASIO ",NEUTRAL
"normal
Recomendo!!",NEUTRAL
"normal
.",NEUTRAL
"normal
Tudo ok",NEUTRAL
"normal
Entrega muito rápida.",NEUTRAL
"normal
O kit comprado tinha 8 módulos e só vieram 7. Mandei um e mail para o fornecedor e até agora não obtive resposta.",NEGATIVE
"gostei muito
gostei, muito bonita.......",POSITIVE
"ENTREGA DESASTROSA
Comprei 2 (dois) Tablet Qbex Zupin TX120 7"" 4GB Dual Core Android 4.2 Preto e recebi apenas 1 (um). A nota fiscal apresenta 2 unidades, mas na caixa lacrada só havia 1 (um). Me considero roubado.",NEGATIVE
"normal
Excelente produto.",POSITIVE
"Excelente
Chegou bem antes do prazo, o relógio é lindo!",POSITIVE
"normal
Pedido ainda não foi totalmente entregue. Continuo aguardando pois ainda não expirou o prazo de entrega.",NEUTRAL
"Cartucho HP Genérico
Cartucho genérico sendo vendido como original.",POSITIVE
"normal
O produto atendeu a minha expectativa e me surpreendeu com brindes, pois recebi vários chaveiros do flamengo.",NEUTRAL
"aguardando para avalia
Aguardando para avaliar ",POSITIVE
"normal
Loja recomenda ",NEUTRAL
"normal
Entregue antes do prazo e material de boa qualidade... recomendo",NEUTRAL
"normal
Produto não é bom pois não faz nenhum efeito na sombrancelhas. Não recomendo",NEGATIVE
"Bom
normal",NEUTRAL
"normal
É a primeira vez que faço compra pela internet, pois até então não me sentia seguro,pois alguns amigos que fizeram tiveram problemas para receber seus produtos, mas resolvi arriscar e deu certo",NEUTRAL
"****
nada a declarar por enquanto.",NEGATIVE
"normal
Produto cfe o anunciado! Entregue no prazo...",NEUTRAL
"Loja é ótima
Eu comprei umas cestas de vime, comprei 6, só que veio faltando uma tampa. Então não fiquei totalmente satisfeita! Mas o produto é muito bom!",NEUTRAL
"normal
A mercaduria nao fue recibida e nao te ligan para avisar da entrega. No app deles nao colocan a previsão de entrega. O que confunde muito.",NEUTRAL
"Sim recomendo a loja
recebi o produto intacto",NEGATIVE
"normal
tudo ok com produto e entrega",NEUTRAL
"normal
LOJA NÃO CONFIÁVEL, MEU PRODUTO NÃO FOI ENTREGUE.",NEGATIVE
"100%
Ótimo ",POSITIVE
"ótima, recomendo
normal",NEUTRAL
"normal
Capinha veste bem certinha, não atrapalha nos botões laterais, pois é bem maleável. A película não colou completamente.",NEUTRAL
"normal
Ótima entrega rápida excelente loja comprarei sempre .",POSITIVE
"normal
quero saber o motivo de não ter sido entregue o produto - 2 pares de anjos de rede",NEUTRAL
"normal
Obrigada ",NEUTRAL
"normal
Quadro muito Bonito. Fica perfeito em qualquer ambiente ",POSITIVE
"normal
De qualidade e entrega antes do prazo.
Recomendo ",NEUTRAL
"normal
A loja vendeu um produto falsificado. Ja fiz a solicitação de devolução do produto, porém ja faz 3 dias e não recebi o email das lannister para seguir com o processo de devolução, conforme orientado.",NEGATIVE
"Parece ok
Estou em obras e não abri os rolos para conferir, mas aparentemente está tudo certinho. ",NEUTRAL
"Excelente, recomendo
Ótimo produto",POSITIVE
"Produto lindo, delicado..
Lindo relógio, não é muito grande, ótimo pra quem tem o pulso fino como o meu.
A loja está de parabéns.. produto chegou bem antes do prazo.. e com uma surpresa!
Obrigada!!
",NEGATIVE
"normal
Otimo atendimento, produto entregue bem antes do prazo estipulado, mto bom.",NEUTRAL
"normal
Eu tinha cancelada a compra, mas mesmo assim me entregaram",NEUTRAL
"muito bom
mais rapido que ja vi",POSITIVE
"normal
produto conforme anuncio, aguardar quanto aos resultados",NEUTRAL
"normal
Amei produto mt bom, nao sao todos pinceis cerdas naturais mais a maioria eh. Adorei alta qualidade os pinceis to apaixonada ",NEUTRAL
"Super recomendado
Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.",POSITIVE
"normal
de qualidade",NEUTRAL
"Muito bom
Veio tudo certinho, eu super recomendo esse produto.chegou antes do previsto.
",POSITIVE
"normal
BOM ATENDIMENTO, FACIL DE COMPRAR ENTREGA RAPIDA.",NEUTRAL
"normal
o prazo de entrega , muito antes . otimo, eu adorei. ",NEUTRAL
"Bom parceiro
Tudo certo recomendo",POSITIVE
"normal
O produto chegou antes do prazo previsto.",NEUTRAL
"normal
Entrega rápida e produto bem embalado.",NEUTRAL
"Exelente!
Olá ,obrigado o produto chegou em perfeito estado e muito antes do prazo previsto po vcs !!
Em breve voltarei para comprar outros produtos bem interessante para minha saude!!amei as amostras.",POSITIVE
"Falta de informação.
Meu produto estava previsto para entrega em junho/18. Porém houve antecipação sem avisos do site e nem do correios. Por fim, tive q buscar meu produto, isso pq paguei o frete.",NEGATIVE
"normal
Qualidade M.Boa",NEUTRAL
"Muito bom!
Gente recebi meu relógio em 2 dias, muito rápido, o produto certinho, estou muito satisfeita.Recomendo!",POSITIVE
"normal
Lindo",NEUTRAL
"normal
o produto que pedi não condiz com a foto, pior é enviar ao cliente uma borracha de vedaçao que vc entra com o valor de 3,00. É uma tiraçao ",NEUTRAL
"normal
Perfeito ",NEUTRAL
"normal
Tudo como esperado. Excelente.",POSITIVE
"normal
Produto muito bom. ",NEUTRAL
"normal
vou avaliar quando receber meu outro produto.Comprei dois do mesmo e recebi um.Porttanto, não considero que o pedido foi entregue",NEUTRAL
"Recomendo
O produto atendeu as minhas expectativas, recomendo aos interessados!",POSITIVE
"normal
Comprei um produto e veio faltando na entrega... ",NEUTRAL
"normal
Não recebi o produto ainda.",NEGATIVE
"normal
Recebi apenas 1 unidade e comprei 2. Tento ligar toda hora na lannister.com e não consigo. Já enviei reclamação e solicitação de resposta varias vezes sem retorno. ",NEGATIVE
"Produto não condiz 
Produto comprado foi Moringa em cápsulas, a qual, já fazia uso porém de farmácia de manipulação local. Este que comprei agora não faz efeito algum.",NEGATIVE
"normal
Devido a greve dos correios, o produto ficou parado e não chegou no prazo previsto",NEGATIVE
"normal
Entrega bem antes do prazo extipulado",NEUTRAL
"normal
Entrega muito antes do previsão. Produto na validade legal e em perfeito estado. Excelente.
",POSITIVE
"normal
Qualidade ruim, produto não é original.",NEGATIVE
"normal
Venho apenas um lustre, e eu comprei 2 fico no aguardo.",NEUTRAL
"Achei estranha a embalage
Recebi o produto numa embalagem de papel, geralmente esses relógios vem numa embalagem de materiais duro etc, fiquei com medo de ser falsificado. ",NEGATIVE
"normal
Dor de cabeça para pegar o produto.pos a transportadora repassou para os Correios .e não tenho o protocolo dos correios para saber aond e estar.em que local eu teria de retirar

",NEGATIVE
"normal
Recebi o produto que queria e antes do prazo combinado, muito bom, recomendo com certeza.",POSITIVE
"entregou direito
normal",NEUTRAL
"normal
Compra sem problemas, produto OK entregue no prazo.",POSITIVE
"normal
Apenas havia lido na descrição que o produto vinha com vidro e não veio, ma é lindo de qualquer forma.",NEGATIVE
"normal
produto melhor do que o esperado.Valeu",NEUTRAL
"normal
Tudo certinho, obrigada.",NEUTRAL
"normal
Chegou antes do prazo.",NEUTRAL
"luminária ok
precisa ter a descrição do tipo da lampada no anuncio. é 12v 50w filamento que esquenta",POSITIVE
"normal
Atendimento perfeito, dando garantia ao cliente.",NEUTRAL
"normal
chegou no prazo, bem embalado e do jeito que eu esperava. recomendo!",POSITIVE
"normal
Recomendo essa loja",NEUTRAL
"sim
Muito bom",NEUTRAL
"normal
Recomendo ",NEUTRAL
"Recomendo
os produtos comparados form entregues antes do prazo.
Mas o valor do frete esta muito alto.",NEUTRAL
"normal
Bom produto ",NEUTRAL
"normal
Entrei em contato com a empresa 3 vezes e não obtive resposta em nem uma das vezes.
Uma falta de respeito com o cliente.
O prazo já venceu e meu produto não chegou.",NEGATIVE
"normal
 Minha filha adorou o relógio,muito bonito e de ótima qualidade ",POSITIVE
"normal
Bom preço, qualidade e entrega rápida!",POSITIVE
"Muito bom
O relógio é ótimo e bonito",POSITIVE
"Excelente parceiro
Parceiro muito rápido e eficiente. Recomendo.",POSITIVE
"normal
muito bom, rápido como sempre",POSITIVE
"normal
Até o momento nao recebi o meu produto. Esta na hora de abandonar o correio que esta um lixo. Verifiquem com aqueles vadios dos correios se irao entregar ou nao o meu produto. Aguardo retorno.",NEGATIVE
"normal
ENTREGUE CONFORME PROMETIDO",NEUTRAL
"normal
Bom comprei uma capinha Sony xa1 e veio xa1 ultra a película também veio errado",NEUTRAL
"normal
Comprei o relógio com a borda azul, conforme o anúncio aqui no site e chegou com a borda amarela e botões. ",NEUTRAL
"normal
Entrega antes do prazo limite e em conformidade.",NEUTRAL
"normal
Gostei chegou bem antes do pra prazo ",NEUTRAL
"Recomento
Produto entregue, fim de semana irei montar.",POSITIVE
"Positivo
Capas excelentes. Recomendo ",POSITIVE
"normal
Ainda nao recebi o produto e ja se encontra atrasado",NEGATIVE
"normal
Compra realizada sem problemas, e a cortina foi entregue bem antes do prazo indicado! Recomendo!",POSITIVE
"normal
no site, aparece ou aparente ser dois fones, mas só chegou um, e a cor era bege e chegou preto",NEGATIVE
"normal
Só pensei que viria com a vara da cortina tbm... tive que comprar!",NEUTRAL
"normal
o cartucho não funciona na minha impressora hp, o chip do cartucho não é do mesmo tamanho dos cartuchos que servem para essa impressora, não e´compativel com hp 4280 , não é cartucho h 60 xl
",NEGATIVE
"normal
Achei king pequeno. Ficou curto na minha cama. O material muito bom.",NEUTRAL
"normal
chegou bem antes do prazo estipulado.",NEUTRAL
"normal
TIVEMOS QUE BUSCAR NOS CORREIOS, ISSO É DESAGRADÁVEL POR PERDERMOS TEMPO.",NEUTRAL
"normal
Bom",NEUTRAL
"normal
Faltou porca e rever manual",NEUTRAL
"normal
Ótimo entrega rápida no prazo",NEUTRAL
"normal
Recebi rapidamente o produto. ",NEUTRAL
"normal
Ainda não recebeu nem a capa do tablet nem o hd externo.",NEGATIVE
"Muito bom 
normal",POSITIVE
"normal
Entrega feito muito rápido",NEUTRAL
"normal
Relogio anunciado por 245,00 .(210,00 +35,00) nao veio incluso frete na nota. Veio apenas 170 na nota fiscal. Quero uma nota com o valor correto que paguei . Ou o reembolso da diferença. ",NEGATIVE
"normal
Fiquei surpreso, entregou mais cedo do que eu esperava, chegou no dia 18/07/2017 em vez no dia 03/08/2017.",NEUTRAL
"normal
O cesto de lixo já recebi, mas o jogo de pratos com 6 unidades não recebi, e os produtos foram comprados na mesma loja. Se puderem me dar um retorno. Obrigada...",NEGATIVE
"normal
Tapete Infantil Formato Margarida Dupla Para Quarto
Conteúdo da Embalagem:
01 Margarida Dupla 1,30m x 1,18m
No site constava o tamanho acima o recebido é de 0.77x 0.60cm super pequeno não gostei",NEGATIVE
"normal
É um teclado prático e todo iluminado. Excelente para jogos.",POSITIVE
"normal
Tudo dentro do esperado.",NEUTRAL
"normal
muito bjom",NEUTRAL
"normal
O site que mais gosto de compra. Produtos de qualidade, preço bom e as entregas sempre acorrem antes mesmo da data prevista!",POSITIVE
"Amei! 
Muito bonito!!!! Satisfeita com o material!!! ",POSITIVE
"normal
lannister é campeã ",NEUTRAL
"normal
Chegou antes do prazo , super recomendo ",POSITIVE
"normal
Nota dez ",NEUTRAL
"normal
ÓTIMO",NEUTRAL
"normal
Ainda estou aguardando uma resposta sobre o fato de ter recebido apenas um dos dois produto que comprei...",NEUTRAL
"Entrega dentro do praxp
Produto muito bom. Preço realmente bom em relação a execelente qualidade do produto. ",POSITIVE
"normal
Produto com codigo correto, mas a impressora não reconhece o toner.",NEUTRAL
"normal
Recebi o patines em perfeitas condições bem antes do prazo dado pela loja.",NEUTRAL
"normal
Produto atendido conforme divulgado. ",NEUTRAL
"Inversor de energia 
Apresentaram um produto que não tinham no estoque ",NEGATIVE
"normal
Produto foi entregue antes do prazo e em perfeita condições. Estou satisfeita.",NEUTRAL
"normal
tudo correu bem com a loja e com a entrega mas o produto não funcionou, vou devolver",NEGATIVE
"normal
Chegou muito rápido a mala, super recomendo ótima e resistente.

",POSITIVE
"normal
preço bom mas veio com defeito",NEUTRAL
"não recomendo
Não veio as duas mercadorias pedidas, apenas uma das unidades foi entregue.",NEGATIVE
"normal
Excelente Produto.Eu indico",POSITIVE
"Recomendo
produto dentro das expectativas.",POSITIVE
"normal
Gostei bastante de comprar nesta loja.
Recomendo!",POSITIVE
"normal
ótimo produto, de qualidade, fácil instalação e com proteção de qualidade (IP67)",POSITIVE
"super recomendo
produto otimo",POSITIVE
"normal
Primeiro pedido veio o produto quebrado. Estou aguardando a troca.",NEUTRAL
"Bom
Recebi o produto excelente condições , antes do prazo previsto, mas houve divergência na cor .
Não solicitei a troca para evitar transtornos e demora de ter o produto.",POSITIVE
"normal
Chegou mais rápido do que o esperado.",NEUTRAL
"normal
Comprei duas calças recebi apenas uma , mas consta no status que que recebi as duas ",NEUTRAL
"normal
COMO VOU AVALIAR UM PRODUTO QUE NÃO RECEBI",NEUTRAL
"normal
Ok",NEUTRAL
"normal
Bom dia! recebi o pedido pela metade, só me entregaram um bico injetor!
Paguei por 2 unidades e só recebi até agora 1 unidade! Fico no aguardo!
",NEUTRAL
"normal
Paguei o produto a vista, não recebi no prazo estipulado e não me enviaram nenhuma informação apos vencimento do prazo de entrega.",NEGATIVE
"normal
Chegou antes do prazo, produto igual descrição. Lindo !!!",NEGATIVE
"normal
Até o presente momento não recebi o produto e não entraram em contato comigo para dar alga satisfação e fazer o reembolso.",NEGATIVE
"Muito bom
normal",POSITIVE
"normal
Achei que demorou muito pra chegar pq alguns produtos que comprei depois chegaram antes. ",NEUTRAL
"normal
gostei muito obrigado",NEUTRAL
"normal
Produto de boa qualidade, veio muito bem embalado, até a próxima compra, obrigado.",NEUTRAL
"normal
A qualidade do produto não ficou a contento",NEGATIVE
"normal
Fiz duas compras uma chegou e a outra estou com problema na entrega, não consigo contato por e-mail ou por telefone para reclamar.",NEGATIVE
"normal
Tudo que combinamos preço, prazo de entrega e produto pedido de vossa parte, e de minha o pagamento, foram cumpridos, nestas condições não há como não dar certo uma transação comercial. ",NEUTRAL
"normal
PRODUTO NÃO VEIO COM O CABO VARIAS RECLAMAÇÕES E NINGUÉM SE MANIFESTOU",NEGATIVE
"Bom
Ótimo, entregar no prazo.",POSITIVE
"normal
Produto de ótima qualidade e entrega super rápida.",NEUTRAL
"normal
Entrega rápida e produto em perfeito estado ",POSITIVE
"normal
o prazo venceu e meu produto não foi entregue. 
foi uma péssima compra, não voltarei a comprar",NEGATIVE
"normal
Satisfeito estou no aguardo do 2 pedido.",NEUTRAL
"normal
Comprei dois fones de de ouvido e só recebi um, ainda sem funcionar, estarei devolvendo na próxima segunda feira.",NEGATIVE
"Recebi só metade dos prod
Recebi metade dos produtos",NEGATIVE
"Excelente 
normal",POSITIVE
"normal
Tudo correu bem. O produto chegou antes do prazo informado e em perfeitas condições de uso. Recomendo a loja.",POSITIVE
"Produto chegou violado
Minha progressiva chegou violada, além não estar lacrada veio com a quantidade de produto à menos, faltando mais ou menos 200 ml.",NEGATIVE
"normal
 Bonita e muito confortavel ",NEUTRAL
"normal
Não recebi o produto até agora é não falaram nada como vai ficar, quando vou ter o dinheiro de volta ,ou o reenvio do produto porque tem quase 30 dias da compra e continuo sem saber. Não recomendo. ",NEGATIVE
"Pedido errado.
Meu produto chegou incompleto,faltou um produto, o whaite. Estou muito chateada.",NEGATIVE
"normal
Produto original,prazo de entrega rápido.Super satisfeito.",POSITIVE
"normal
Entregue antes do prazo",NEUTRAL
"normal
CHEGOU, NO PRAZO CERTO, TUDO CERTINHO.",NEUTRAL
"normal
Bom vendedor",NEUTRAL
"recomendo sim
normal",NEUTRAL
"normal
Gastei muita passagem depois de pagar frete, passagem e uber tá faltando 1",NEGATIVE
"normal
Vendedor honesto podem confiar continuem assim",NEUTRAL
"normal
INDICO A LIJA A TDS... A entrega a imediata...",NEUTRAL
"normal
Tudo conforme anunciado, produto ótimo, venda OK!
",POSITIVE
"normal
O prazo estava para 21 dias úteis de entrega, mas me entregaram em menos de 10 dias uteis, referente a qualidade, ñ tenho nada a reclamar, veio tudo bem embalado e atendendo minhas expectativas . ",NEUTRAL
"normal
Produto com medida menor do que a informada no site ",NEUTRAL
"normal
No inicio fiquei com receio.
Adorei,rápido e pratico.
Obrigado.",POSITIVE
"Chegou hoje
Excelente embalagem. Ainda vou testar o produto.",POSITIVE
"normal
Fiz o pedido em uma quarta feira e recebi na sexta. Recomendo.",NEUTRAL
"normal
Tdo certo com a entrega ...",NEUTRAL
"Fornecedor ótimo 
Lindo como na foto.
Amei",POSITIVE
"normal
Recebi antes do prazo e feio conforme no anúncio. Amei.",NEUTRAL
"normal
Em relação a loja, foi tudo como combinado.
Produto não posso ainda avaliar. 
Estou contente com a loja.",NEUTRAL
"Super Recomendo!!!
Recebi antes do prazo!!! Bem embalado!",POSITIVE
".
recomendo o produto.",POSITIVE
"normal
Produto entregue bem antes do prazo. Muito bom. Indico. ",NEUTRAL
"Bom
Chegou antes do previsto",POSITIVE
"normal
Otimo vendedor ..",NEUTRAL
"normal
O processo de compra foi super rápido e a entrega aconteceu no prazo. Quanto ao produto ainda nao utilizei e não posso avaliar, mas o serviço da lannister foi muito bom.",NEUTRAL
"normal
produto entrega na data, mas veio errado, aguardando a solução ",NEUTRAL
"Perfeito 
Estou muito satisfeito obrigado. ",POSITIVE
"Satisfaz perfeitamente 
ótimo produto, alem da expectativa.Encaixa perfeitamente no mandril sds plus",POSITIVE
"normal
Recebi o produto no prazo, mas solicitei devolução. Estou aguardando instruções pra devolução ",NEGATIVE
"normal
Recebido antes do prazo e em perfeitas condições. ",NEUTRAL
"Bonito mas mal acabado
O produto é legal mas bem mal acabado. A xícara é fantástica. A base de madeira é bem feinha, mas no custo beneficio valeu apena.",NEUTRAL
"normal
Ótimo 

",NEUTRAL
"normal
Estou satisfeito com a entrega no prazo, mas o box veio todo amassado. E gostaria de fazer uma troca por um box não avariado.",NEUTRAL
"normal
Comprei três e só entregaram dois.
Ficarei aguardando um retorno!
",NEGATIVE
"normal
a peça veio com defeito, o frete custou mais caro do que o produto e minha maior chateação é que para trocar vou ter um trabalho absurdo",NEGATIVE
"normal
Não fui informada q viria em 2 caixas e não passaram os dois códigos de rastreio.
Mas a loja foi muito solícita .",NEUTRAL
"Defeito
A peca veio com defeito.",NEGATIVE
"normal
 ainda não tive tempo de abrir a caixa com a cadeira (verificação da perfeição do produto), Acredito que está tudo bem.",NEUTRAL
"Ok
Recebido dentro do prazo e produto ok com o aprese tá do no site. ",POSITIVE
"Amei
Perfeito, amei muito linda a cor, e o tecido muito bom. ..",POSITIVE
"normal
Produto diferente do esperado.",NEUTRAL
"normal
Chateada com tudo isso comprei duas capas protetora de colchões e só recebi uma e ainda que agente confirme a entrega é muito sem noção!?",NEGATIVE
"normal
Entrega dentro do prazo, embalagem/produto bem condicionados. Recomendo.",NEUTRAL
"normal
Excelente. Chegou antes do previsto",POSITIVE
